stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8504176,0,452.0,465.0,"Lausanne, Tunnel"
8504176,4,296.0,317.0,"Lausanne, Tunnel"
8504176,6,106.5,119.0,"Lausanne, Tunnel"
8510575,4,371.5,379.0,"Lausanne, César-Roux"
8588439,0,37.0,42.0,"Pully, port"
8588439,1,50.0,56.0,"Pully, port"
8588439,2,48.0,54.0,"Pully, port"
8588439,3,52.0,58.0,"Pully, port"
8588439,4,45.0,52.0,"Pully, port"
8588439,5,34.0,40.0,"Pully, port"
8588439,6,26.0,32.0,"Pully, port"
8588440,0,71.0,84.0,"Pully, Somais"
8588440,1,84.0,97.0,"Pully, Somais"
8588440,2,83.5,97.0,"Pully, Somais"
8588440,3,86.5,100.0,"Pully, Somais"
8588440,4,80.0,95.0,"Pully, Somais"
8588440,5,68.0,76.0,"Pully, Somais"
8588440,6,59.0,64.0,"Pully, Somais"
8588441,0,77.0,86.0,"Pully, Châtaignier"
8588441,1,92.5,103.0,"Pully, Châtaignier"
8588441,2,93.0,104.0,"Pully, Châtaignier"
8588441,3,97.0,107.0,"Pully, Châtaignier"
8588441,4,89.0,98.0,"Pully, Châtaignier"
8588441,5,70.0,77.0,"Pully, Châtaignier"
8588441,6,59.0,65.0,"Pully, Châtaignier"
8588443,4,48.0,48.0,"Pully, Préau"
8588443,6,31.5,35.0,"Pully, Préau"
8588445,4,80.5,187.0,"Pully, gare"
8588445,6,0.0,0.0,"Pully, gare"
8589522,0,486.0,504.0,"Lausanne, place du Nord"
8589522,4,338.0,338.0,"Lausanne, place du Nord"
8589522,6,108.5,128.0,"Lausanne, place du Nord"
8589523,0,533.0,533.0,"Lausanne, Bessières"
8589523,4,300.0,300.0,"Lausanne, Bessières"
8589523,6,104.0,130.5,"Lausanne, Bessières"
8590442,0,514.0,569.0,"Lausanne, Riponne-M. Béjart"
8590442,4,329.0,350.0,"Lausanne, Riponne-M. Béjart"
8590442,6,77.5,89.0,"Lausanne, Riponne-M. Béjart"
8591979,0,42.0,63.0,"Lausanne, Alpes"
8591979,1,62.0,83.0,"Lausanne, Alpes"
8591979,2,63.0,85.0,"Lausanne, Alpes"
8591979,3,64.0,86.0,"Lausanne, Alpes"
8591979,4,57.0,77.0,"Lausanne, Alpes"
8591979,5,45.0,67.0,"Lausanne, Alpes"
8591979,6,31.0,48.0,"Lausanne, Alpes"
