stop_id,day_of_week,arrival_delay,departure_delay,stop_name
8504176,0,91.0,131.0,"Lausanne, Tunnel"
8504176,4,143.5,174.5,"Lausanne, Tunnel"
8504176,6,137.0,170.0,"Lausanne, Tunnel"
8587357,0,0.0,0.0,"Lausanne, Bellevaux"
8587357,1,0.0,0.0,"Lausanne, Bellevaux"
8587357,2,0.0,0.0,"Lausanne, Bellevaux"
8587357,3,0.0,0.0,"Lausanne, Bellevaux"
8587357,4,0.0,0.0,"Lausanne, Bellevaux"
8587357,5,0.0,0.0,"Lausanne, Bellevaux"
8587357,6,0.0,0.0,"Lausanne, Bellevaux"
8590442,0,0.0,0.0,"Lausanne, Riponne-M. Béjart"
8590442,1,-30.0,2.0,"Lausanne, Riponne-M. Béjart"
8590442,2,-33.0,0.0,"Lausanne, Riponne-M. Béjart"
8590442,3,-29.0,9.0,"Lausanne, Riponne-M. Béjart"
8590442,4,109.0,138.5,"Lausanne, Riponne-M. Béjart"
8590442,5,-1.5,47.5,"Lausanne, Riponne-M. Béjart"
8590442,6,15.0,37.0,"Lausanne, Riponne-M. Béjart"
8591988,0,-20.0,-4.5,"Lausanne, Bel-Air"
8591988,1,-36.0,-15.0,"Lausanne, Bel-Air"
8591988,2,-25.0,-8.0,"Lausanne, Bel-Air"
8591988,3,-17.0,-1.0,"Lausanne, Bel-Air"
8591988,4,70.0,101.0,"Lausanne, Bel-Air"
8591988,5,-1.0,23.0,"Lausanne, Bel-Air"
8591988,6,-20.5,-4.5,"Lausanne, Bel-Air"
8592001,0,38.0,56.0,"Lausanne, Boston"
8592001,1,35.0,54.0,"Lausanne, Boston"
8592001,2,43.0,59.0,"Lausanne, Boston"
8592001,3,39.0,54.0,"Lausanne, Boston"
8592001,4,53.5,69.0,"Lausanne, Boston"
8592001,5,47.5,65.5,"Lausanne, Boston"
8592001,6,16.0,37.5,"Lausanne, Boston"
8592003,0,46.0,65.0,"Lausanne, casernes"
8592003,1,58.0,76.0,"Lausanne, casernes"
8592003,2,55.0,73.0,"Lausanne, casernes"
8592003,3,54.0,70.0,"Lausanne, casernes"
8592003,4,56.0,75.0,"Lausanne, casernes"
8592003,5,57.0,73.0,"Lausanne, casernes"
8592003,6,44.0,59.0,"Lausanne, casernes"
8592004,0,51.0,91.0,"Lausanne, Cécil"
8592004,1,70.0,109.0,"Lausanne, Cécil"
8592004,2,69.0,107.0,"Lausanne, Cécil"
8592004,3,64.0,105.0,"Lausanne, Cécil"
8592004,4,68.0,107.0,"Lausanne, Cécil"
8592004,5,63.0,98.0,"Lausanne, Cécil"
8592004,6,48.0,82.0,"Lausanne, Cécil"
8592010,0,3.0,41.0,"Lausanne, Chauderon"
8592010,1,15.0,52.0,"Lausanne, Chauderon"
8592010,2,14.0,49.0,"Lausanne, Chauderon"
8592010,3,13.0,48.0,"Lausanne, Chauderon"
8592010,4,13.0,47.0,"Lausanne, Chauderon"
8592010,5,6.0,42.0,"Lausanne, Chauderon"
8592010,6,-1.0,35.0,"Lausanne, Chauderon"
8592011,4,12.0,45.0,"Lausanne, Chauderon-Ale"
8592011,6,212.0,243.0,"Lausanne, Chauderon-Ale"
8592033,0,57.5,66.0,"Lausanne, Druey"
8592033,1,65.0,73.0,"Lausanne, Druey"
8592033,2,72.0,73.0,"Lausanne, Druey"
8592033,3,78.0,87.0,"Lausanne, Druey"
8592033,4,97.0,100.0,"Lausanne, Druey"
8592033,5,65.5,67.5,"Lausanne, Druey"
8592033,6,45.0,46.0,"Lausanne, Druey"
8592034,0,27.0,31.5,"Lausanne, Druey-Collège"
8592034,1,19.0,32.0,"Lausanne, Druey-Collège"
8592034,2,26.0,35.0,"Lausanne, Druey-Collège"
8592034,3,40.0,46.0,"Lausanne, Druey-Collège"
8592034,4,48.0,61.0,"Lausanne, Druey-Collège"
8592034,5,72.5,72.5,"Lausanne, Druey-Collège"
8592034,6,24.0,27.0,"Lausanne, Druey-Collège"
8592046,0,0.0,-10.0,"Lausanne, Fontenay"
8592046,4,437.0,0.0,"Lausanne, Fontenay"
8592047,0,62.0,87.0,"Lausanne, Forêt"
8592047,1,71.0,97.0,"Lausanne, Forêt"
8592047,2,70.0,96.0,"Lausanne, Forêt"
8592047,3,68.0,93.0,"Lausanne, Forêt"
8592047,4,70.0,96.0,"Lausanne, Forêt"
8592047,5,64.0,86.0,"Lausanne, Forêt"
8592047,6,53.0,71.0,"Lausanne, Forêt"
8592050,0,0.0,14.0,"Lausanne, gare"
8592050,1,0.0,18.0,"Lausanne, gare"
8592050,2,0.0,16.0,"Lausanne, gare"
8592050,3,0.0,16.0,"Lausanne, gare"
8592050,4,0.0,16.0,"Lausanne, gare"
8592050,5,0.0,16.0,"Lausanne, gare"
8592050,6,0.0,13.0,"Lausanne, gare"
8592053,0,142.0,161.0,"Lausanne, Grande-Borde"
8592053,4,163.5,173.5,"Lausanne, Grande-Borde"
8592053,6,174.0,192.0,"Lausanne, Grande-Borde"
8592060,0,33.0,61.0,"Lausanne, Beaulieu-Jomini"
8592060,1,46.0,76.0,"Lausanne, Beaulieu-Jomini"
