line_name,stop_id,stop_line_idx,stop_name
20,8592046,1.0,"Lausanne, Fontenay"
20,8592064,2.0,"Lausanne, Languedoc"
20,8592097,3.0,"Lausanne, Pont Marc Dufour"
20,8592004,4.0,"Lausanne, Cécil"
20,8592010,5.0,"Lausanne, Chauderon"
20,8592120,6.0,"Lausanne, St-Roch"
20,8592060,7.0,"Lausanne, Beaulieu-Jomini"
20,8592076,8.0,"Lausanne, Mont-Blanc"
20,8592003,9.0,"Lausanne, casernes"
20,8592116,10.0,"Lausanne, Stade Olympique"
20,8592088,11.0,"Lausanne, Parc Vélodrome"
20,8591996,12.0,"Lausanne, Bois-Gentil"
20,8591994,13.0,"Lausanne, Blécherette"
